case,ft,slope,north,east,planc,profc,elev,slope2
1,闊葉樹林型,48.139769495281364,-0.2687989678139453,0.9631963013333044,0.004327646763672855,-0.03317235323632715,576.0,2317.437407058822
1,闊葉樹林型,23.893396656492648,-0.9593655015712705,0.2821663239915504,0.07098726114649681,-0.004012738853503185,140.0,570.894403784494
1,闊葉樹林型,35.28126182726603,-0.5299989400031799,0.847998304005088,-0.002134831460674158,-0.024634831460674158,133.0,1244.767436124099
1,闊葉樹林型,14.103462835639398,-0.9950371902099892,-0.09950371902099886,0.011485148514851485,-0.011014851485148514,51.0,198.9076639562617
1,闊葉樹林型,30.985684296843363,-0.9991330730923519,0.04163054471218118,-0.01208838821490468,0.01541161178509532,109.0,960.1126313436454
1,闊葉樹林型,49.05111016553776,-0.9761870601839527,0.21693045781865625,-0.001970588235294118,0.0005294117647058822,473.0,2406.0114084717216
1,闊葉樹林型,41.59751679121417,0.8448190755542285,-0.5350520811843448,-0.009910785091197463,0.007589214908802539,1231.0,1730.3534031953448
1,闊葉樹林型,39.84215955425675,-0.9887155042247666,-0.14980537942799496,-0.008201301615798922,-0.0032013016157989233,658.0,1587.3976779468526
1,闊葉樹林型,46.53438273346463,-0.5923904504775179,-0.8056510126494246,-0.00453537338573835,0.00796462661426165,907.0,2165.4487763845714
1,闊葉樹林型,24.52281262777141,0.9863939238321437,-0.16439898730535726,-0.003040540540540541,-0.0005405405405405405,616.0,601.3683391767848
1,闊葉樹林型,36.51456867399333,0.9792604195071027,-0.2026056040359523,0.01758836944127708,8.836944127708132e-05,819.0,1333.3137254477751
1,竹闊混淆林,36.00673320377918,-0.7568230077691598,0.6536198703460921,-0.0020502958579881655,0.0004497041420118342,608.0,1296.484836008134
1,待成林地,38.67344937613533,-0.031234752377721248,0.9995120760870788,0.07817073170731709,-0.004329268292682926,514.0,1495.635686648502
1,闊葉樹林型,38.903551214305885,-0.2788101948639555,0.9603462267536241,0.0025,-0.0025,470.0,1513.486297084121
1,竹闊混淆林,17.183330483447964,-0.9701425001453319,-0.24253562503633316,-0.0014705882352941178,-0.003970588235294117,273.0,295.26684650339206
1,闊葉樹林型,35.29811642184922,-0.7415357791237712,0.6709133239691262,-0.0025,0.0025,1436.0,1245.9570229304218
1,闊葉樹林型,33.197229942878394,-0.7259526839058267,-0.687744647910783,0.004394160583941606,-0.008105839416058394,524.0,1102.0560758803417
1,闊葉樹林型,14.434094830851231,-0.48564293117863194,-0.8741572761215378,-0.0029127358490566037,-0.0029127358490566037,289.0,208.34309358600623
1,闊葉樹林型,44.53600944536456,-0.4573480126207614,0.8892878023181471,-0.006397675919948353,0.006102324080051646,238.0,1983.4561373176016
1,闊葉樹林型,51.006007432455384,-0.8096104433943875,0.5869675714609311,-0.014916018025399427,0.012583981974600575,411.0,2601.612794199694
1,闊葉樹林型,46.242226022013895,-0.7421026427511381,0.6702862579687701,0.03309169054441261,-0.03440830945558739,232.0,2138.343467471019
1,闊葉樹林型,38.78215347624,0.9956342260592881,0.09334070869305826,-0.006737657308809293,0.0007623426911907065,1423.0,1504.055428254634
1,闊葉樹林型,32.02597107856493,0.9992009587217894,-0.03996803834887158,0.031419728434504794,-0.01358027156549521,87.0,1025.6628235250773
1,闊葉樹林型,42.5163425625201,-0.8998141071961995,0.4362735065193696,-0.005048327137546469,0.02245167286245353,986.0,1807.6393848935584
1,闊葉樹林型,55.771942562233505,0.6633075143158518,0.7483469392281404,0.016682094301417417,-0.010817905698582587,1023.0,3110.509577165073
1,闊葉樹林型,37.42543512676668,0.7840458244617614,0.6207029443655612,-0.004071504802561366,0.003428495197438634,749.0,1400.6631944278213
1,竹林,24.65223572323068,0.490261239632559,0.8715755371245493,-0.015712166172106825,0.006787833827893174,249.0,607.7327261537309
1,闊葉樹林型,39.50971228619393,0.24253562503633289,0.9701425001453319,-0.012941176470588234,-0.002941176470588236,305.0,1561.0173649378237
1,闊葉樹林型,13.342363797088236,-0.31622776601683783,-0.9486832980505139,-0.002500000000000003,-0.002500000000000003,108.0,178.01867169385082
